,class,name/encoded,s_name_1,s_name_2,s_name_3,s_name_4,s_name_5,s_name_6,s_name_7,s_name_8,s_name_9,s_name_10
0,1,a,ax,axay,axresh,axn,ahiesh,ahesh,ahish,aysha,aeijaz,aj
1,Encode,A,AX,AXY,AXR,AXN,AH,AH,AH,AYS,AJ,AJ
2,2,abhai,abhai,abhas,ab,abeesh,abhish,aaboo,aba,abi,abu,aabha
3,Encode,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
4,3,abubacker,abhibhav,abubacker,abubaker,abubakar,aboobackar,aboobacker,aboobakar,abubakkar,abasaheb,abhayanand
5,Encode,ABABAC,ABABAV,ABABAC,ABABAC,ABABAC,ABABAC,ABABAC,ABABAC,ABABAC,ABASAH,ABAYAN
6,4,abhibhav,abhibhav,abubacker,abubaker,abubakar,aboobackar,aboobacker,aboobakar,abubakkar,abasaheb,abhayanand
7,Encode,ABABAV,ABABAV,ABABAC,ABABAC,ABABAC,ABABAC,ABABAC,ABABAC,ABABAC,ABASAH,ABAYAN
8,5,abubkar,abubkar,ababji,abikshit,abhik,abheek,abhiv,abhijt,abhiijt,abap,abhed
9,Encode,ABABCA,ABABCA,ABABJ,ABACSA,ABAC,ABAC,ABAV,ABAJT,ABAJT,ABAP,ABAD
10,6,ababji,abubkar,ababji,abhijt,abhiijt,abhiji,abaji,abhiv,abhijay,abikshit,abhed
11,Encode,ABABJ,ABABCA,ABABJ,ABAJT,ABAJT,ABAJ,ABAJ,ABAV,ABAJY,ABACSA,ABAD
12,7,abhik,abubkar,ababji,abhik,abheek,abikshit,abhiv,abhiji,abaji,abhed,abida
13,Encode,ABAC,ABABCA,ABABJ,ABAC,ABAC,ABACSA,ABAV,ABAJ,ABAJ,ABAD,ABAD
14,8,abukalam,abhikanksha,abichandaney,abukalam,abubacker,abubaker,abubakar,aboobackar,aboobacker,aboobakar,abubakkar
15,Encode,ABACAL,ABACAN,ABACAN,ABACAL,ABABAC,ABABAC,ABABAC,ABABAC,ABABAC,ABABAC,ABABAC
16,9,abhikanksha,abhikanksha,abichandaney,abukalam,abubacker,abubaker,abubakar,aboobackar,aboobacker,aboobakar,abubakkar
